Part ID,Value,Package,Stock Code,Layer,Rotation,X,Y
CN7,1-534236-9,ECE298_REVTRANS38DIL-1,1-534236-9,BOT,0,177.362,1019.69
CN10,1-534236-9,ECE298_REVTRANS38DIL-1,1-534236-9,BOT,0,2577.36,1021.26
J13,PIN,PIN,,TOP,0,417.323,110.236
C1,10u,CAPC2012X100,Digikey 478-1417-2-ND,BOT,180,421.26,1448.82
C6,10u,CAPC2012X100,Digikey 478-1417-2-ND,BOT,180,413.386,1295.28
J15,PIN,PIN,,TOP,0,598.425,1393.7
C2,10u,CAPC2012X100,Digikey 478-1417-2-ND,BOT,180,417.323,1145.67
J14,PIN,PIN,,TOP,0,421.26,929.134
J12,TBLOCK-I2,TBLOCK-I2,,TOP,0,714.173,255.906
C4,10u,CAPC2012X100,Digikey 478-1417-2-ND,BOT,0,594.488,106.299
J16,PIN,PIN,,BOT,0,751.969,125.984
U10,DRV8871,SOIC127P600X170-9,,TOP,270,1043.31,153.543
R1,10k,0805_RES,72-0869,TOP,180,997.37,397.638
J39,PIN,PIN,,TOP,0,1295.28,23.622
J38,PIN,PIN,,TOP,0,1421.26,82.6772
J10,CONN-SIL7,CONN-SIL7,,TOP,180,1873.23,169.291
J8,CONN-SIL4,CONN-SIL4,,TOP,270,1177.95,590.157
Q1,BSS138,SOT23,,TOP,270,1440.45,640.157
R4,10k,0805_RES,72-0869,TOP,270,1027.95,639.102
R14,47k,0805_RES,72-0949,TOP,90,677.953,1823.1
R16,91k,0805_RES,72-0973,TOP,270,1277.95,748.157
C17,0.1u,CAPC1005X55,Digikey 311-1047-1-ND,BOT,180,1281.5,413.386
J33,PIN,PIN,,BOT,0,1421.26,444.882
J11,CONN-SIL4,CONN-SIL4,,TOP,0,598.031,606.299
R15,47k,0805_RES,72-0949,TOP,0,788.709,716.535
R12,10k,0805_RES,72-0869,TOP,0,620.74,755.906
R17,91k,0805_RES,72-0973,TOP,0,892.394,566.929
C16,0.1u,CAPC1005X55,Digikey 311-1047-1-ND,BOT,180,494.094,574.803
Q10,BSS138,SOT23,,TOP,0,996.063,816.831
J17,CONN-SIL2,CONN-SIL2,,TOP,0,1628.74,669.291
Q5,2N7002,SOT23,,TOP,0,1681.1,529.429
R3,200R,0805_RES,72-0615,TOP,0,1628.61,818.898
J2,CONN-SIL2,CONN-SIL2,,TOP,0,1853.15,669.291
R5,200R,0805_RES,72-0615,TOP,0,1813.65,814.961
Q2,2N7002,SOT23,,TOP,0,1893.7,533.366
J19,CONN-SIL2,CONN-SIL2,,TOP,0,2073.62,673.228
J20,CONN-SIL2,CONN-SIL2,,TOP,0,2294.09,669.291
Q3,2N7002,SOT23,,TOP,0,2098.43,525.492
Q4,2N7002,SOT23,,TOP,0,2303.15,521.555
R6,200R,0805_RES,72-0615,TOP,0,2018.38,814.961
R7,200R,0805_RES,72-0615,TOP,0,2207.35,814.961
J7,26630301RP2,CON3_1X3_HDR_2663,NorComp 26630301RP2,TOP,0,1751.97,342.52
C5,0.1u,CAPC1005X55,Digikey 311-1047-1-ND,BOT,0,1588.58,381.89
J31,PIN,PIN,,BOT,0,1905.51,326.772
C3,0.1u,CAPC1005X55,Digikey 311-1047-1-ND,BOT,0,1045.28,122.047
J21,CONN-SIL2,CONN-SIL2,,TOP,0,733.465,1165.35
R2,10k,0805_RES,72-0869,TOP,0,727.039,1015.75
J6,CONN-SIL2,CONN-SIL2,,TOP,0,1581.5,1161.42
R11,10k,0805_RES,72-0869,TOP,0,1587.92,1000
J18,CONN-SIL2,CONN-SIL2,,TOP,0,1853.15,1161.42
R8,10k,0805_RES,72-0869,TOP,0,1839.89,1007.87
J4,CONN-SIL2,CONN-SIL2,,TOP,0,1006.69,1165.35
R10,10k,0805_RES,72-0869,TOP,0,998.693,1011.81
J5,CONN-SIL2,CONN-SIL2,,TOP,0,1266.54,1165.35
R13,10k,0805_RES,72-0869,TOP,0,1262.47,1003.94
J1,CONN-SIL2,CONN-SIL2,,TOP,0,2105.12,1161.42
R9,10k,0805_RES,72-0869,TOP,0,2081.37,1007.87
